Month,Race/Ethnicity,gender,residency,action_taken,CALLS FOR SERVICE,CHECK POINT,EQUIPMENT VIOLATION,OTHER INVESTIGATIVE DETENTION,TERRY STOP,TRAFFIC VIOLATION
2020-07,ASIAN/PACIFIC ISLANDER,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-07,ASIAN/PACIFIC ISLANDER,MALE,,ARREST,0,0,0,0,0,2
2020-07,ASIAN/PACIFIC ISLANDER,MALE,,CITATION/SUMMONS,0,0,0,0,1,3
2020-07,BLACK,FEMALE,,ARREST,0,0,0,0,0,1
2020-07,BLACK,FEMALE,,WARNING ISSUED,0,0,0,0,0,1
2020-07,BLACK,MALE,,ARREST,1,0,0,0,0,0
2020-07,LATINO,FEMALE,,ARREST,1,0,0,0,0,3
2020-07,LATINO,MALE,,ARREST,2,0,0,0,0,8
2020-07,LATINO,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-07,WHITE,FEMALE,,ARREST,0,0,1,0,0,1
2020-07,WHITE,MALE,,ARREST,3,0,1,0,2,3
2020-07,WHITE,MALE,,CITATION/SUMMONS,0,0,2,0,0,0
2020-08,ASIAN/PACIFIC ISLANDER,FEMALE,,ARREST,1,0,0,0,0,0
2020-08,ASIAN/PACIFIC ISLANDER,MALE,,ARREST,0,0,0,0,0,3
2020-08,ASIAN/PACIFIC ISLANDER,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-08,BLACK,FEMALE,,ARREST,1,0,0,0,0,0
2020-08,BLACK,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-08,BLACK,MALE,,ARREST,0,0,0,0,0,2
2020-08,BLACK,MALE,,CITATION/SUMMONS,0,0,0,0,0,4
2020-08,LATINO,FEMALE,,ARREST,0,0,0,0,0,3
2020-08,LATINO,MALE,,ARREST,2,0,0,0,0,8
2020-08,LATINO,MALE,,CITATION/SUMMONS,0,0,0,0,0,2
2020-08,UNKNOWN,FEMALE,,ARREST,0,0,0,0,0,1
2020-08,WHITE,FEMALE,,ARREST,0,0,0,0,0,4
2020-08,WHITE,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-08,WHITE,MALE,,ARREST,4,0,0,0,2,7
2020-08,WHITE,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-08,WHITE,MALE,,NO ENFORCEMENT ACTION,0,0,0,0,1,0
2020-09,ASIAN/PACIFIC ISLANDER,FEMALE,,ARREST,1,0,0,0,0,1
2020-09,ASIAN/PACIFIC ISLANDER,MALE,,ARREST,1,0,0,0,0,3
2020-09,BLACK,MALE,,ARREST,1,0,0,0,1,3
2020-09,BLACK,MALE,,CITATION/SUMMONS,0,0,0,0,0,4
2020-09,LATINO,FEMALE,,ARREST,2,0,0,0,0,3
2020-09,LATINO,FEMALE,,WARNING ISSUED,0,0,0,0,0,1
2020-09,LATINO,MALE,,ARREST,1,0,0,0,3,9
2020-09,LATINO,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-09,LATINO,MALE,,WARNING ISSUED,0,0,1,0,0,0
2020-09,WHITE,FEMALE,,ARREST,0,0,0,0,1,2
2020-09,WHITE,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-09,WHITE,MALE,,ARREST,0,0,0,0,0,5
2020-09,WHITE,MALE,,CITATION/SUMMONS,1,0,0,0,0,0
2020-09,WHITE,MALE,,WARNING ISSUED,0,0,0,0,0,1
2020-10,ASIAN/PACIFIC ISLANDER,MALE,,ARREST,2,0,0,0,0,2
2020-10,ASIAN/PACIFIC ISLANDER,MALE,,CITATION/SUMMONS,1,0,0,0,0,1
2020-10,BLACK,FEMALE,,ARREST,0,0,0,0,0,2
2020-10,BLACK,MALE,,ARREST,0,0,0,0,0,1
